Start Date,Subject,Description,Location
04/25/2022, Aloitusinfo,Kari/Christian,lab537
04/26/2022, Forms kartoitukset +  RYHMÄ HOKS klo 12:00-15:00,Kari /Kalle,Teams online
04/27/2022, HOKS (teams) / verkko-opinnot Eduhouse,Kari /Kalle,Etäopiskelu
04/28/2022," Työssäoppimispaikan hankinta, huom. Klo 10 - 15",Jenni ,314B tuutori
04/29/2022, Ohjelmoinnin perusteet Python,Chrisu,lab517-518
02/05/2022, Ohjelmoinnin perusteet Python,Chrisu,lab537
03/05/2022, HOKS (teams) / verkko-opinnot Eduhouse + itsenäinen harjoittelu,Kari ,Etäopiskelu
04/05/2022, HOKS (teams) / verkko-opinnot Eduhouse + itsenäinen harjoittelu,Kari ,Etäopiskelu
05/05/2022, Ohjelmoinnin perusteet Python,Chrisu,lab537
06/05/2022, Virtuaaliympäristöt,Kalle,lab537
09/05/2022, Verkko-opinnot Eduhouse + itsenäinen harjoittelu,,Etäopiskelu
10/05/2022, Ohjelmoinnin perusteet Python,Kalle,lab537
11/05/2022, Linux palvelimet,Kalle,lab537
12/05/2022, Opiskelijapalvelujen info ja aikuinen oppijana,Sari ,314B tuutori
05/13/2022, Ohjelmoinnin perusteet Python,Kalle,lab537
05/16/2022, Verkko-opinnot + itsenäinen harjoittelu,,Etäopiskelu
05/17/2022, Työssäoppimispaikan hankinta,Jenni ,Lab520
05/18/2022, Linux palvelimet,Kalle,lab537
05/19/2022, Versionhallinta Git,Kalle,lab537
05/20/2022, Verkko-opinnot + itsenäinen harjoittelu,,Etäopiskelu
05/23/2022, Verkko-opinnot + itsenäinen harjoittelu,,Etäopiskelu
05/24/2022, Ohjelmoinnin perusteet Python,Kalle,lab537
05/25/2022, Ohjelmoinnin perusteet Python,Kalle,lab517-518
05/26/2022, HELATORSTAI,,
05/27/2022, Ohjelmoinnin perusteet Python,Kalle,Lab517-518
05/30/2022, Verkko-opinnot + itsenäinen harjoittelu,,Etäopiskelu
05/31/2022, Ohjelmoinnin perusteet Python,Kalle,Lab517-518
